"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101"
"sp1" 0.601603858067981 1.07105186377459 -0.108088417703939 -0.750739957365136 -0.183136674974321 1.66297218475082 1.00526095992955 -0.726410218068898 -0.118085082040433 -0.690251244734366 0.26212002619458 0.499235064947867 -0.102914072761609 -0.333083771205697 -0.342696609625541 0.786845051917617 -0.859506261422674 -1.26998212780037 -0.848976153996121 -0.218110105995309 -1.25380902020934 -0.901791753630343 -0.493430399439747 0.83256434487156 1.9079477996413 -0.971868777920446 -0.979499768768821 -0.756788240042394 -0.2267578954945 -0.709966800556386 0.244172756499282 -1.77974908951298 -0.572078583813452 -1.95743465417295 -2.36301866632046 0.662113450991789 -0.743098186944288 -0.4348381484659 -0.0782905984841802 0.99469751485174 1.29980930440381 0.4895121605936 0.702835315301511 -0.254547972626057 -1.08899249261428 0.0780778027341091 -0.0238943657247878 -0.251929166531139 0.624291589525595 -1.05081792945938 -0.469980196544326 0.355921017330846 -0.0243368894198406 -0.0582640408771576 0.0689253352261446 -2.41325191525556 -0.663946219242029 -0.457144184797512 -1.37296995425613 -0.704811320272985 -0.526374967511013 -0.412697267516147 -0.794430674248355 -2.36522079875996 -0.0705804421183103 0.768182092898196 -0.219499269241274 -0.966167230420207 -0.515030822652454 -0.402016522432462 -0.135279899378719 -0.213735560446029 -1.21264549009484 0.00722885590125749 0.628320087819649 -0.0288385949165925 0.255208524299404 -0.677421852082356 -0.378589041777263 -0.495473884253581 -0.545890754430586 -0.847553611577044 0.369624526665792 -0.454562520223268 -0.988669655166055 -0.327916944930145 0.250977779605941 0.477289686993634 -0.860285860835035 -0.299940137220782 0.12146181899153 -0.921172777694807 -0.688430286936507 -1.29643389287275 -1.64149852942285 -1.19555490147978 -0.29156896207447 -0.128983492926383 -1.07835440216247 -0.640978926374164 -0.231916964715055
"sp2" 0.0720561656702984 1.97596043757674 1.34081546120263 0.264469771381448 0.630800694515216 1.21018573848114 1.14543381080978 1.35320212725145 0.331624650336633 -0.493421101808472 0.497105234127028 0.0518092071648409 -0.21874915642932 1.21107433253776 -0.509411366825629 0.333685582839665 1.44336088269979 1.08141665856986 1.25653925481406 0.832772541595381 -0.153833459325908 -0.0886495768120884 0.183849159527463 0.451778435954408 0.424775806663496 0.481965010407749 0.645575000909967 0.507832538098687 0.728006931996402 0.857717157479142 -0.0935420399149646 -0.98651181707582 1.57008324865683 -0.485605912939931 0.442506345880546 0.404591991377728 -0.382026194770984 -0.0371447153222791 1.06892251031665 0.136267405318161 1.75896143361094 -0.137959067560293 0.983708454352928 1.22500467784636 -1.03133482266908 0.143995059676719 0.114953189468647 0.118305746998405 -0.0497261951713031 0.0393007500152137 0.629073720381411 0.313937224354249 0.238500413949549 1.74051960389138 0.726317682536601 -0.924033146629754 -0.305371456215748 0.25174534847826 0.732865219988887 1.25176481315207 -0.865406561111988 -0.168555265092992 0.491520902456647 -0.303073562801942 0.163055652786533 0.492273237334399 -0.216918466379282 -0.369344490279311 1.02507328210914 1.22679471737767 1.00420353293402 1.30388498125377 0.403736071227626 1.753560864269 0.267716199201581 0.0207030323644071 -0.374871514934926 1.33402700952338 -0.596222503275609 0.272578268184016 -1.23509323841821 0.817441313962372 1.15647591334967 1.30384807850241 0.090448667382291 0.00175000704256764 0.250947948754143 0.0343207332720376 -0.284030175525246 -0.551377862852085 -0.564853513284519 0.590448199970165 -0.37002999819775 1.16971316521281 -0.770303514043598 0.509243831561775 1.39359240559954 0.114623406909024 -0.621551138918374 -0.363323719242496 0.138420897171679
"sp3" 1.19461130850406 2.02613432048685 1.85503690427865 0.321668413419193 1.16084472090098 0.815338778208403 2.24288413185261 1.69253484286055 0.388216906172393 -0.463674416426505 1.79096511144168 0.216793653085618 0.330425449937533 0.639067520137243 -0.692742450871251 -1.26660304371739 2.34269767984352 0.799421562515016 1.69147776808172 0.335635289197154 -0.566701590799904 -0.359177451921888 0.0253855874836092 0.247408426865952 1.18176931666534 0.26025738123171 -0.199174789097469 0.260743730979133 1.82293981185463 0.472622283914957 -0.492655106798226 0.440449947544171 0.820693720172053 1.2909902689686 -0.474779961890294 0.550076777012421 -0.232330755528339 0.317459107504159 0.986700868392044 -0.476776845173851 1.58153578733048 -0.0315804734085351 1.15575847535831 0.999074278525211 -1.24409048926241 1.33532481404482 -0.654147985074369 0.681467827581858 0.473440004582762 -0.144664411908597 -0.093712656661203 1.6305594781301 0.483643054827558 1.44446859571412 0.53785637016309 0.0286238198914847 0.338741402400364 0.646559606248299 -0.157117787952317 -0.0211525531049854 1.11887964797842 0.889084479975774 -0.17031900464334 -0.100229652544716 0.874786875508355 0.0515120931069089 0.076094745898022 0.142159821637196 2.15209905761849 1.39896749911568 1.1060586753102 0.684751977067537 1.43566018554143 1.16212469531361 0.0775111438535539 0.264557741589667 0.0010804603736856 1.24102120203841 0.963000899978793 0.195560668539572 1.0825733731989 1.81646406707078 0.770996787336328 -0.627601150531446 1.20417659220294 -0.468911605187705 -1.05742900732394 0.172919953831117 -0.414632634849789 -0.341024557696458 0.945563184847033 0.788625680418201 -0.277423647550265 -0.818130101864265 1.18710272057926 0.960192878770365 0.84660201040875 -0.0720404624955061 -0.276482758063733 0.572921339457204 2.1577704753595
"sp4" 0.625974981831804 1.2743719709802 1.5521143631359 1.13535508038884 0.872181439062957 0.479545186682142 1.90995674822289 1.85476990823988 0.721716384565005 -0.782020904505614 1.8814584871937 1.15338230125161 -1.06723167302693 1.29105364570023 1.68147548814905 0.449856598823951 1.49118468831845 0.788190239768629 0.326082477930104 0.95409703940562 -0.92769771593212 0.155935261748606 0.277634638879391 1.0870282205829 0.488562635357787 1.07551300883115 0.997628590215456 -1.06627207421845 2.02213454670852 0.67615632920161 0.426494785600313 0.0356059586898052 0.191907451144091 0.28912633474445 0.306132761941998 1.04145339794354 -0.0470951945691297 -0.0858527052305569 0.934541371334436 1.38569048856146 1.23542471884587 0.803491160006026 1.13672781370135 1.37504702088236 -0.356150913557023 0.354619888739637 -0.252315254469097 2.49268714494512 -0.0472075391703474 1.12519932169788 -0.523013299923135 1.6505265319313 0.770531077196514 1.99839380126078 0.888493112372359 1.31234161815535 0.299089794505435 -0.938862609984235 -0.229394997662989 0.0703320279720553 1.47316780286849 -0.481901160198061 -0.968399160836864 -1.2336249838364 1.84179781007304 0.658947642415437 0.880464125200171 0.218880305311372 1.45769912325475 0.914780496573158 1.78798468689348 1.47236523742519 0.847320351788172 1.72704066170967 1.41922440509765 -0.374120485529634 -0.892801232458613 1.05809327292281 0.511230781378538 0.551842575392422 1.08966569473718 1.65437261193805 1.06713611008982 -0.201438440015754 0.585635476312908 -0.583498825591948 0.809800500548943 0.314895855071566 0.203733310369029 -0.179751001411985 1.39522780242516 0.216249346116682 0.267310341222112 -0.161298178677665 0.443634191991889 0.223847508717947 1.11631581482404 0.451748245566322 -1.07229822092414 0.962845505783524 1.36946930559778
"sp5" 1.16190569064159 1.86262546380396 1.11980951834455 0.466372900107459 0.375492398014384 0.730140959260907 2.8570530244128 1.45288184044399 0.762103576660988 0.566700322508285 0.509514516661195 1.17174160738625 0.653436224779179 0.0380466159404998 1.19349763345136 2.31942599451375 1.55228482812351 1.07511727159151 0.696572319007363 0.635570759456225 -0.740958505839913 0.0108745314543478 -0.159740930837586 0.810617841385808 1.28289060368463 1.39216457735274 1.42273194180398 1.13947362435809 1.88128634331777 1.07636350293251 1.84946014656421 -0.0415590579938797 1.18883155178678 1.05300659500943 0.0752190505797294 1.23203643277375 1.25446733134804 1.12906256762837 0.618897011351278 0.91875316268915 2.14047855047736 -0.850233962733906 1.04803479148447 0.894640088619419 -0.638596862556662 1.55184601902383 0.447072541835571 1.76581991876211 1.26236992352643 0.0081600997384037 0.57379351584359 1.97303877040808 2.13801841787682 2.26090106036768 0.78968460139 0.978568276600494 1.4873172996038 0.299458302559741 -0.692115392458496 -0.172696550309794 1.4644944183149 0.720674157578173 0.260155829978475 1.32418179442745 2.46841039842875 1.13690582175273 1.02668299264629 -0.0755765289156792 1.28264131632519 1.3192894503687 1.83175650854741 0.986461101403882 1.49423534169775 1.83452410866495 -0.0255155038622539 -0.578317101386838 -0.11732453039023 1.31881234660121 -0.63624064754423 0.697324917427293 1.62477182194705 1.25670962534654 1.12544713569016 1.43939476070154 0.0663453727018278 0.305337467330981 0.799306018686158 1.18250413551313 -1.04956096616152 0.316526948310029 1.08328569981149 0.182074267936212 -0.415903437720987 0.675278666163654 0.68114429714251 0.418916947165089 0.800290896587337 0.556286636350015 -0.0433997271295796 0.756824209960099 0.905652257116149
"sp6" 0.410540766649692 1.54910822586876 2.05526243627058 1.12775226769528 0.614766245116841 1.314931178291 0.847144444565687 1.22037878083127 1.02283536257399 0.650635516145332 0.901592260595935 1.12554620059351 1.37224766672075 0.930347426665314 0.661720894454922 1.3883568797389 1.24849315821377 1.8131235286707 1.24150743860018 1.14314985288422 0.383088914824611 -0.466801376317743 -0.0276452278527406 1.4647686179938 0.628600977027406 0.521582105835442 0.616679758122574 0.599423043325014 1.01152197963942 1.06062964173161 1.03712544868896 0.391367691375655 0.712526160008057 0.890140634589732 0.767529607886318 0.533409701754802 0.482738563083543 0.45979856954919 0.881551808698093 1.34699292117272 2.29331390516811 -0.913669177169347 1.66743074151536 0.0474758513303354 0.585266646441498 1.40100216395746 0.0104796807029455 1.06169325457147 1.26379614540995 0.349272717071708 -0.105294756432919 1.59583808136278 0.68068943549267 1.74356698793917 2.13815215493673 0.0257629414548943 1.60567177228284 0.710732616000526 0.934683719685509 -0.0243268865544567 1.76289199030548 0.331241654704773 0.732613803468308 1.33652811109131 1.35436864280398 0.765855019495669 1.59064220292879 1.03732148986191 1.31919141817471 1.58934454617969 1.65780846671533 1.01116524230189 1.66829367869276 1.67582186672765 0.414893589733239 0.828748006803713 0.437828509306337 0.557728918413848 0.435601067730302 0.11419263002732 1.28540875123959 1.49597165340065 1.10049411476493 1.29574181707086 1.858067805886 0.748009614661539 1.54381730799435 -0.0815413904791719 0.255066113716031 -0.275099002911512 1.56517714987303 1.01985745239232 -0.195143830603813 1.85570646954463 0.833824787401069 -0.16460363781492 1.31819176896782 0.618510358433374 0.239246589146719 0.421992394053447 0.433805527167558
"sp7" 2.36459509826486 2.33685895531969 1.72564453119086 0.878918871040212 0.5322058420754 0.586591654944186 1.99756207123311 2.14584707742067 0.47667468431059 0.758731152195971 1.10736138855729 1.1996228804897 1.13440312590823 0.597722359097522 1.23093732115114 0.573074918381795 1.14800959635511 1.65932522518989 0.958748300084661 0.154679186550794 1.61236669238714 0.556017408850131 2.67958265189921 0.795498253130404 0.263417319727897 1.90768861434101 1.08033307905936 0.413228103977687 0.426030889448628 1.42876866238649 1.60215846337974 -0.0123563470121441 0.921699846443391 0.823713995661706 0.682404104169785 1.42629134441852 0.0373888987853749 0.388516405753189 1.18180484990852 1.69389154359762 2.61395629052299 -0.631931338528857 1.44553464623172 1.4386998099542 -0.878015620629822 1.41919155343228 0.174863986690152 2.14973726917743 0.591288459138415 0.117124922397967 -0.197131708164078 1.30248387987995 0.49484710708913 1.80982779550431 0.725967565042141 0.1148118801801 1.01020171471537 1.20470340360575 1.60729156522673 -0.503041988824451 1.74433800219166 -0.064503430350294 1.67466440453767 1.83062437047491 1.70919550582305 0.980327003941406 1.01283598358071 -0.440321931436105 1.86189534090851 1.5877523080621 1.76038580280332 1.3825084828865 1.51190155671409 1.69001989605225 0.529328925922214 0.946422893706565 0.400092432980216 0.928132302745694 1.36109225947742 0.269249574133304 1.44714453304704 0.88959777972539 0.966668177837173 0.701455074718554 0.517833195770997 0.893851855597567 1.923211232946 0.844741079419807 0.0703075558926748 0.770723741936106 1.27138349503234 1.400527350859 0.352642709140013 1.32350529749714 0.361226899954608 0.372531910936934 1.08779887006171 -0.017120630846887 0.222132266472859 0.322541841350107 1.09022426991785
"sp8" 1.98577717612448 0.833691886532378 1.76224240764083 -0.00967636000735828 0.402296708823636 0.247330983246393 1.91276531192579 1.780440757525 0.652702909052291 0.55030696733176 1.82545304454277 1.48466902523062 0.476173363736178 0.434532662666468 2.05938376833366 0.654113317925205 1.35340604692047 1.34094757034437 0.439404802059139 2.03778584443406 0.162814796452336 0.55788414821108 1.51370824408457 1.03699973693807 0.142514028870757 1.76837214833402 1.69542596976113 0.781009692050719 2.14592055043414 1.0156510905742 1.52605994532792 1.07590917837788 1.49708000522406 2.45697454963376 1.81792308784969 0.917906712083187 1.31991098820875 0.138810799035921 0.762671058536348 2.21945179898449 1.73841167761522 0.460375065940434 0.5535512278632 0.973734342586553 -0.332334346580352 1.32408417237899 0.90318145183669 2.53053693561736 1.29830845353478 0.719058089120485 0.562307895651292 0.968405429318808 1.76722702629085 1.60943479429024 0.165398491004446 -0.317648129512338 0.905113182352137 0.890999711384471 2.40955055148588 -0.318453215579288 1.28313932319241 -0.00680155272411227 0.379701179797819 0.859564115718617 0.473603348378957 1.01560500681278 1.05586666842702 0.313439829231608 1.55443195563934 0.911843395318965 1.40897894994654 0.807693443369993 1.86493808296967 1.65788741711621 0.845470891785416 -0.420756619192158 1.47470187067071 1.02653785250834 0.240980531445573 0.233106667848532 1.59388951371728 0.808867952676131 1.29745068662681 0.587441501407981 -0.121653724414727 0.116806800432021 0.810741827938506 0.492293057635008 -0.0136992526181204 1.75179285766844 1.1692772939496 1.07418231930537 -0.00478012084358391 0.687363988759691 0.139581688451706 -0.168709554405875 1.23702942428548 0.834059529161704 0.904783161537568 0.298038216120872 0.628252276386688
"sp9" 0.96426683318545 1.71833048581747 1.79854995455243 1.57780569508872 1.10612687019566 1.0093933035398 1.68651178866813 1.93670157407047 1.58568265625803 1.01199785367506 1.53439082068478 1.12218848769164 0.67788287778972 0.839996931173402 1.20821163996542 1.02339272209451 1.02183374758333 1.40090793933725 1.02053944435097 2.34831479067179 0.496259391393913 0.0597098506024289 0.12762838869037 1.3721787386066 0.795850760675062 1.82231791791323 1.33997276921729 0.958452822651948 0.84119975748359 0.863797871658039 0.370689156290142 0.797356481363991 0.991774984285904 1.1139776271549 0.811254203747914 1.27468732199269 1.12132423014689 0.677031461024739 2.08318743973369 0.688145725978718 0.991618721221609 1.4900032151959 0.935687473728893 1.14841860586527 -0.580771688148506 0.877046216365094 0.549447795030499 2.13348046799203 1.50470307549619 0.140763005353703 -0.0153910183492233 1.70080535263132 0.953165739284506 1.84197439784231 1.84301266861762 1.10933020000985 1.07975945509844 0.855523140909757 1.94769033884026 -0.221347851449329 2.00256226601238 0.78440019319393 1.07468913635311 1.16908723048426 1.09609382032213 1.13804071611804 1.25048077581104 -0.0311362173665189 1.17279956219528 1.63389105937089 1.59442971185958 1.0298462530686 2.20686773086407 1.86390438401972 1.89848263710392 0.245845303906977 0.138153899764129 1.37451828878707 0.213863572354077 1.32371336169731 1.4536012223719 0.939552185673673 1.14633369019271 0.225033085408198 0.970608656970029 0.501324756469499 1.65988114946086 0.12982551501647 -0.349643962043547 1.22102794724419 1.76032305260788 1.19960377353956 -0.149858503825398 1.64316080697701 1.30918349701949 0.766164460140667 1.64703581344064 1.0416290940633 0.495333934189595 1.44435255956811 2.42495692370867
"sp10" 0.992416164064289 2.76387018223383 1.39722833475189 1.33754553090537 -0.0921752357148057 1.24566845172562 1.70106569808029 2.24809006432069 0.898247848080273 1.12190119052182 1.0943351101877 1.49051391801845 1.39816731325735 0.890241173021039 1.19146583098756 1.45996278352202 1.35168325112966 1.49409484054496 0.973301320396215 0.889918106053898 1.21748957556719 -0.0285103532737091 0.608054544803681 1.05384560879367 1.15280857931995 1.1828664019754 0.407717753193473 0.654372871868635 0.0842301210984459 0.683600881655016 2.1355780740657 0.515484942523139 1.24804859680677 1.36434466552271 0.475289517709324 0.38765074148838 1.34380998556596 0.490265585488057 1.80573781566082 0.0976407244731732 1.00291476354769 1.11399481029352 1.45943943504768 0.790705788671891 -0.905264243641073 0.757637323256127 2.43387899577568 1.56309752157436 1.28429483093511 0.728158213196386 0.362036944048845 2.31564395633389 2.22730687955507 1.12992284458849 0.0640575910612007 0.8079445208921 0.56965527549293 1.47865801432012 1.30590038056281 0.337182874694426 1.66030572195267 0.682985357658475 0.279537142195565 0.981856545800389 2.06410905644888 0.920327942052482 0.911526799958577 0.840508557535148 1.68472437711222 0.916622354392008 1.76679871149002 0.601776535414651 2.24001182022315 1.77102452666895 0.70621566327092 -0.101083535264906 -0.205351246969761 0.925300918901147 1.05990416416845 1.16347389760273 0.938716685906997 1.13739392384922 0.775162072788567 1.55424881774748 1.64437315322902 -0.670202353549687 0.942104708464511 0.872037143953444 2.16974119964634 1.39577124928725 1.16614514107322 0.953288937865474 0.270516572451622 1.36340451685141 0.806497252070662 0.00757446008324748 1.70495772917597 0.572812352056809 0.264890205787934 1.03200049071311 1.11396104712063
