"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
"sp1" -1.4389723471706 2.76235336939672 -2.92381051442932 -2.01808450655344 0.568058605043638 2.2081701426399 0.294861074983509 -7.16324422020261 0.959809377158707 -3.76554550207321 -2.11237200746531 1.09457946441027 -1.17973445465122 -4.46759515551235 -4.91540918529628 -0.0100883570557567 1.8873867280015 -2.0637637680329 -0.638161970452186 -4.64236853852714 -5.50129338048987 -2.33380579991567 2.60436751994516 -6.36825666261387 2.17743269023168 -0.444192211379995 -5.22979430590827 4.14448118580385 -3.45752527832415 4.92117437107195 -5.99971846336767 -2.65975276718125 6.7560158637179 2.10620795365569 3.39777100973671 -6.32495915187313 4.92300471595932 -4.2644612892766 -1.00147725412758 -1.90501654343963 -7.70924150920621 0.604680081036199 3.64336991598067 1.33039137367996 0.116521235663312 -1.49296575689008 -1.6329012850503 -2.62909693951098 -2.22963008430362 -1.41309585076222 4.88479243258488 0.0374897498890304 -8.03034492410328 -4.66687083870882 1.50769504104201 3.82267028345484 -4.78820075119238 -3.56518726755891 2.75355055587942 -0.830998088947247 -5.1490713136897 -3.80210076593879 -2.65947267014207 -3.76720124085758 -5.06238928911194 3.70764496817722 -3.33348816159896 -2.45997543400913 -1.76751464950919 2.74442000814398 -1.63860343085129 -3.85994505063977 -0.637403942301589 -1.87431460370486 -1.53835709379211 -5.44847224160283 -0.240540635839686 -0.970377277170922 -0.911986109920852 -1.57586706564001 6.7802766520498 -2.90324897626547 2.47200275940409 0.272461015612611 -2.12956527240586 0.663445161080096 -5.67327833261225 4.8826527700466 -1.06927792320547 0.366814738274233 0.0468395143918273 -5.66931606076132 1.46958569813511 -1.12970171717404 -2.0063633730628 -1.29661905285156 -1.98933800793962 -0.701157468737352 -0.910269609857039 -2.02373351798988
"sp2" 0.527983420772808 0.512640186525944 -1.60413718509779 -3.13023180082733 -4.14292400240951 -1.30184826861187 3.70846592566896 -1.38775989401671 -4.42714708054343 -2.70712958024956 -1.40526139526025 2.76561607978635 6.98999039569927 -6.15439315481843 -1.61963033529317 -1.53118512289706 5.76578018080011 -3.73835161965011 -6.14059884054174 -0.960882040922126 -1.35543397310652 -0.993696593277544 -0.240126201092191 -2.43993906821802 -2.19400140030506 0.975225181053227 2.63897021399342 -0.254152147665302 -4.32370465490642 2.43330599291417 1.61165329671275 -0.796984566801497 1.96278747138011 -1.59371293580782 1.52921959363526 -2.79191185753527 0.0730811494746641 -3.17002709751974 -1.56239658610671 -1.22458613357617 -1.99243355686801 2.37541515764968 -0.137370761703016 0.262602484099436 0.809751402255205 -2.28495616111219 2.69968179720633 1.32087235763179 -3.99989411781935 -1.25244554057542 6.41084476019583 2.0993678777638 -0.679387263585912 -2.18442216452339 -1.46645574857614 2.5060282133383 -0.31756425288741 1.5558775844661 2.29611779230082 0.778511875861329 -1.01569288864567 2.41493317951601 -0.0339755669360736 0.280500452641293 -1.95100760304592 -0.321991749708947 -3.65356977003867 -2.95936933797288 3.27477977704797 2.78691640638076 2.07492513185913 -0.140269370183827 5.51116581541821 -3.49910519465988 3.09578522842873 -0.596909062447018 -3.83939200463483 -0.257428083252244 -4.48542302792746 -3.81815783596274 0.457045688583512 -0.416256008862094 3.76320283587503 1.19541458862573 -6.40849708560319 -0.114750622830115 -4.7955932361021 -0.573470126943496 -2.60055913996819 3.48823721383713 -0.431646968935674 0.434402902628963 5.05551562249138 -2.77927544289279 -4.72973724797285 -1.50912259491505 -1.30464350092786 -6.06360073011429 0.829692873354096 -3.04871000720269
"sp3" 2.27525596453803 -4.37551921221331 4.46515590675283 -3.45960303982019 1.11304114296733 -2.7814552092597 -3.77296914283043 -0.759036374777132 -3.54370117040422 2.80527494480225 -1.81911109468338 -1.81687297408734 -0.54341166310276 -5.95623455137403 1.37172982324594 -3.78853651329846 -0.404716938417094 1.95951239272289 -0.130299182854461 3.10902891949295 2.41415661741336 4.1863914060055 -0.23299657739187 -3.69619482762937 -6.57016473980183 6.88555285647601 -4.78982624731044 -1.78496009319303 -0.215409737763211 3.24327063504055 -4.13143535143854 -3.92748111149171 1.01104762613041 -1.85199209960268 3.07072666341376 0.542787559227111 -3.56260338569036 5.46520990694276 -4.1717844329615 -6.69677828596692 1.06287180505751 2.18186854993158 4.16708539600946 -1.07028627883829 0.0262815195714263 -6.6997178858053 0.642463184184465 2.20221991502574 1.84705310459165 -0.347951553662111 -4.20527845244446 0.190676696003653 -4.54679748777813 0.482248529873221 -4.48082337621477 -1.11131814586079 2.94891051530236 -5.06151432493001 -1.21792051908985 -2.3212285443739 -1.32493117713649 -2.5799030207319 -2.13786302997059 -1.27914888929705 -5.56231900248866 6.77273345655426 -3.78934937928631 2.2973651033504 3.32404872363939 -4.1382234455711 -2.23687423306057 -3.09433484141568 1.93525987111252 -1.35776315160012 -2.6160671679167 -3.08714685643371 -2.78779440157574 -1.18663270985195 2.17472993405661 2.31644262339778 -3.16207052191179 -2.7081956322715 -3.42257405258708 -0.018015659802903 0.0467781772682499 0.361260431361005 -7.29621596369278 -0.2714988025419 0.872005705412555 -0.836357018998337 -0.606268829709748 3.65755036896487 -1.30400137120817 0.534917615915804 -0.19456959852995 -4.82260703819163 -5.59689247989699 3.258006998884 -0.910606187044586 -2.57203886301812
"sp4" 0.871234333724222 -2.19523045718245 0.333140838079381 0.483419208864746 0.413571589511389 1.82774469700383 -1.93204787675281 -2.54094182536948 -2.77213233327826 -3.54999313719996 -3.25835524284065 -5.14177161830998 -0.249472952670343 -7.8860836859466 -0.405862084408955 -4.73803397742537 5.21869084782956 3.69772895987305 -5.78594573607357 7.35939340671776 -2.30669727187181 4.76651527957624 -3.95070362924991 0.534960089707102 -1.30665193164564 0.936118823405863 -1.4194152305742 5.75756225816016 1.48256308179732 6.63228217208447 0.589924012122499 -4.67765443101506 4.02278521943382 -2.76809580207538 0.905880860277424 5.13410343459155 2.30067622201408 -2.22946219051378 -4.56884841038664 -3.72031050599219 2.19788247647777 -2.79927933192751 0.804267674421123 -5.40213829787078 1.43435642213013 -5.6588097214055 1.28266075492881 -3.14586919563749 -0.904398334781235 -1.69599329872941 3.2924852752773 3.55672647816286 -4.77914646537592 3.16039336510343 -1.60946146499619 5.71110464183843 -1.15178296216245 1.21759216424467 -0.787262029837058 -4.09947981266347 -1.48683147424529 4.1188235262441 -4.61065350253493 -1.22000083993826 0.80575024657278 3.77420621462746 -5.16915762528779 -2.15919697023899 0.481018810268773 1.33922851393016 1.00333238328809 -2.45509359410171 1.28033827241517 4.27414084921788 -5.55464116624615 -2.94757701381554 2.25916950918228 2.73345593387916 -3.55301543147372 -1.56975410944307 -0.545994817385595 -2.96315400641309 2.37673105366148 1.40760197523205 -3.09118471120768 -3.23787628580088 -2.29140898675198 0.195596527994081 1.02639841774513 3.15021257257714 0.553934955491114 1.93908171759178 1.69649529154629 -1.60419947205793 -0.834254268900925 -1.8060780106405 -0.631875127214661 1.6408158584987 3.98208164320193 -0.192082144467462
"sp5" 1.51468866907611 1.78601696874222 -0.794418074961161 5.23490984135939 4.86917315899362 3.42812801305456 -5.16464017639435 -0.345716629760793 -3.7900006203697 4.22768618352558 3.49257053852859 0.301322401885505 3.96036725593226 -10.0122954308465 0.559476965166916 0.672861241757227 1.65656905545033 0.488079864359816 1.97286139299123 3.0132031054157 -2.67211701278607 6.1678922633439 -2.17400458755447 -3.15804881352439 0.427839130274098 1.87095784966858 -2.04251549885419 6.84499300245948 -3.79533451248185 5.81474385712676 1.53413572074884 -5.47161569756048 3.96729943747441 -3.26282282892324 -0.330871233165329 5.6004330399959 1.23429425033759 -2.43565008178824 -1.69796447548973 -0.0566023040433843 2.04385461906877 2.26245706226219 2.28481684008317 3.10543557781931 0.453500169417593 -0.901577252389316 0.189802976523228 -0.450554670497941 -4.44015863037476 -2.62678398097531 -2.82681495966919 -0.557615167346479 -5.33405325862709 -2.17104689099281 -0.181394198147453 1.67097763671003 0.897249171891401 0.764399660585782 -1.75149912562303 3.36843317903348 1.63483552513949 0.378133349924476 3.80546200995361 -1.16051541974771 0.85130100138982 2.57878187461989 -0.127154121892718 -2.71232965011571 -0.435460834307284 -0.771218949723098 -0.33551595862283 -2.08441830345005 6.94412466084498 -2.01763264060199 1.03885687236092 -0.740696204815486 1.78164155401113 4.39765872382598 2.72078967137956 -2.24665929698292 -0.08357647159086 -1.09214820236575 -1.81385486220976 2.66199902859047 -10.5993652561483 -0.166784496295867 -1.05804115489671 3.10500815730411 2.93934460893234 2.75337041213329 -1.38235309009874 -3.25640685754386 3.20308645540757 -0.987703872540484 -1.24713604844252 -2.96108159884341 -0.154931699696206 -0.181448157309192 -1.69941019479295 -2.50610952621629
"sp6" -2.07659793733767 1.48392648275525 -1.89252038655948 1.22393950525892 3.86436161235693 -1.25238428847611 -2.91530664160782 1.71434554713273 -5.85849898134268 -3.59149785597889 -2.14968027756565 -0.15741597190897 2.19601987224941 -5.52987290517388 -0.74473602989087 -4.13435860297564 2.70297091773576 4.13747609642968 0.561851968626748 2.33779266734007 1.51013413282926 3.51757296144573 2.79725792026846 -1.27541024433394 2.32722217815418 -1.36179824689274 -1.09890410786111 1.14467901549575 0.847331668599226 2.90373071082577 -7.15420196147504 -1.81163163197452 2.76972370593445 -1.12504414181232 2.98054340251954 5.24729067082337 -1.70492986276467 -2.03538333455968 6.6327470998899 4.49719658652594 3.62098582224048 -2.88706097446417 3.85319687608775 -5.16807791006 7.25328985902584 -1.63820740835832 1.42941238483645 0.219406242052724 2.54972197588808 2.43357246680534 3.23846741102132 0.583241339341075 -4.13517310327935 -2.6681226425303 -0.585469734687181 1.6925727210493 1.5410298777146 3.15552171669917 1.00931309208978 3.87505023281873 -2.25208541161433 1.15492044648277 -3.82434248228633 1.77452582159365 -2.75798194702542 -1.34182554971043 -1.00934698306411 -2.08909955779863 4.1835954340371 1.69552787303033 -3.14057165463189 -2.51469912714602 5.68966132007148 4.35121211008911 1.16489528061993 1.21079723357993 -0.536004992853673 -1.77251605959527 -1.571219255445 1.51570783756838 3.03448913343214 -2.49426719417241 -2.01092862776629 2.39646139146496 -4.15466650433778 2.03135080996388 -3.13189070527642 0.521763924412095 6.28392364752713 -1.92639202732313 5.2196561884762 -4.28682647548572 3.71525924187282 -3.05316694484304 1.75506129654273 1.23939683362697 0.231679710098339 -0.700844560132167 0.786663869766381 2.69309392117501
"sp7" -0.577184659487855 0.942632596595674 -3.45848750690325 0.877034210903997 -0.316417194577413 1.03199133988392 -0.453324664996637 2.59749082604292 -1.52615526664401 -2.86658094082925 1.32011754778542 -0.716712598149897 2.60433513975494 -7.10040038709449 0.607500185271836 -3.15745169153722 0.771108400636604 2.47982507892216 -1.95228594706155 6.23478119233233 -3.8083856551759 4.73248244749755 3.4112819214223 -2.80740927957329 -2.27769952232076 4.74810782752882 2.55227948181057 -1.86777762782301 -0.547910681605979 5.2276468047964 0.896692542873888 -0.530540431736745 -0.0541106401232782 -3.04570888070042 5.03182672183575 0.014252390341728 4.03775707302182 -5.34880757275587 0.535120525039762 0.0241166490217673 0.46731380766197 -2.74148686411521 1.68554560713263 1.41035716657981 0.6882171326345 -0.29744303205637 1.35581171286651 -0.30764900629971 1.63851040630328 2.71503998824038 6.57687016413842 3.63676328132873 -2.96321613689072 -1.17451815291793 3.93703197771607 2.55730322205964 -3.3259556134353 1.72400597153155 0.281856827568539 2.93424220118687 1.48407812059035 0.87655559038213 3.14434718096188 1.30282798284157 -2.10394633043552 -1.15628345958745 -1.41530978014419 0.607020816317564 -1.45742648786573 -0.306116553726443 0.373712228126414 1.05911806986549 -3.40897350106735 0.473056895790282 -3.98046950494651 2.38489269223369 -1.83244901732997 1.15183055906144 2.62575928397635 -1.65102534201474 3.50179300574678 -6.09650216216987 0.21684250489596 -0.127165105918983 -7.55290769356191 2.85164307608822 -2.83906136361068 1.81469625625999 -1.1989994509864 -0.11540666331289 -0.0265762140854977 1.44680392154562 4.861739863774 -2.75261603361043 -2.61107530535147 -4.31480761053997 -1.06367858264684 -0.934292142798532 -0.8246490674088 -0.0291678974095261
"sp8" -0.020579690230199 -0.731238878906897 1.57930311003301 0.688700590263131 0.616476839380453 -2.88475208828098 2.89461518583293 4.83535370716188 3.0193838376464 1.60928994868683 2.08127832171715 5.46958926098613 1.07566706193268 -12.4310924020443 -4.61001242428758 -1.23676357021138 5.06762234192256 -0.861753989348702 -4.01224959596625 3.11043211139133 0.748700490294475 6.86663895566566 -8.1002108347191 -5.06844984681966 -0.366864171827285 -0.121400606036299 0.726280933294911 -3.13186861512413 0.33012359743145 0.240677934827184 -5.18438362264928 -0.269501450409219 1.5321106672189 -0.164226065069358 4.18199496055406 -1.56324587403092 4.72356649033844 -4.55954028363445 -1.5537794178387 1.85844508861311 3.32128082416298 4.39458284603096 -0.39638001167163 -2.39370093210806 -2.66095658491475 -6.76198620914236 -0.716317058259352 1.24069577919368 0.12365302171898 -2.43089442879829 2.59456154030454 6.3706454847126 3.85131962100571 0.154418467750841 0.0649292789368356 -0.178647490256361 0.581177522424684 -0.332550194279003 3.70255716040295 -0.0518614403507642 -2.53071776255133 2.96496447076889 -2.72949407611247 0.761549650058371 -1.78532066658259 1.95444410737768 -3.34374239165692 0.0438745794771439 3.40148644071068 3.67194778177118 1.27151354316862 1.44941989451451 2.38399178762041 -0.63139376610214 0.5499637449799 4.59360368670961 -2.37122027181741 3.97201417384415 1.38826648665217 -1.47321413803987 6.26622171333057 1.31344290707018 -1.01278163130303 -0.0834526058621485 -2.75566134972596 5.6547030537146 -4.06014838241512 -3.23977681466958 -2.62814478211435 -2.16578619674594 4.42294962553627 -1.84984507459137 -0.229120449371622 -2.8098701573625 0.908164040128309 -5.4706425679289 3.13486658454462 2.83192603844718 1.80093133860667 1.07570304341892
"sp9" 4.09611203470436 4.57205117354207 -2.20197769889324 -2.67623905680515 -1.69331290980294 3.19810624465605 2.33853279415563 -0.512846683333996 0.935170191671501 3.19935672577331 1.22502975248278 -1.95101426757472 -0.980140076717784 -6.13871742700788 -1.41420844353422 0.967852396361693 -0.978376981679025 4.90758823502333 -0.900744942895228 0.458968982415827 -1.11890661068091 4.13805391473217 4.13559921157134 0.614496384110984 -1.81419660646819 1.45167721785044 -2.91465292846142 6.07221329458592 6.06808462210562 4.21758955830917 -4.1417290976033 -1.08939592099324 2.73607517728428 2.72492643756068 5.33896158133174 -1.19571916370202 4.22947445143725 -5.61691383997027 -3.58590126588928 -1.13760919682393 3.76772387342036 3.40667087731941 2.08117878606528 0.836285806100217 2.89270456074883 -0.231043939656314 3.35385999240211 2.03251309884991 -1.91361160935462 1.74843128860707 5.01057445710219 2.17986974259356 0.00401366339705225 -0.620069883290031 -1.08546263112606 4.02826472922133 1.42001497751856 -2.72345459125643 1.3720995012404 1.21195164871608 -5.08549937396344 1.91746196625572 -1.79637928689181 2.20049498737412 3.83659604968278 -3.85530891203431 -2.51209707522202 0.366968938091612 5.8320878883737 3.26397016426649 -0.211119675844752 -3.01263484612661 5.50130536324461 6.02789504112831 -1.75950400793317 1.36531129110814 3.05069528775886 1.74536947281862 -0.109354067202893 -1.46835702808548 9.89051017434733 -0.41030939953108 -0.65250648909274 2.01860249297998 3.58198996252085 0.479214868958401 4.78287626244174 -1.53190093242695 2.98796944725766 -1.27784144364619 2.97946876876687 1.98577071922713 4.51009415071079 -6.16224110166276 -2.03158674794822 -4.61171733321801 0.275987539760971 0.78387623091618 1.86910908508409 -0.660494658892484
"sp10" -1.39094956667152 -2.97607681324981 -1.46026493445889 -2.03480897206199 1.95791528877774 -1.36694937887556 3.35970993353402 2.01185507556103 -3.99187208062706 -1.93851615526606 1.47305179950358 4.44492047933933 2.53963812218845 -5.3737877226072 1.40130700928458 -1.07472556950693 8.16925193534263 4.92416327247779 -2.89002177825217 1.12727898119612 1.9773038703814 4.07445348876749 3.77460570594605 -1.20196190333214 -2.40607191093434 1.55663596129232 3.70897459355035 6.90245756885577 0.0846808728112595 4.79924281269214 -2.98406928918436 -1.35869153480674 0.251720517239783 -2.92739392530712 -1.05751812016537 3.70569127396644 4.13481740691775 -1.68466303824689 -1.58954453736454 0.20549393709579 3.52560933626034 -0.237509060358456 2.79623110069537 -1.12038734745715 2.57159215096209 4.35990787969956 -2.40817446671578 2.01409207937023 2.872488031539 -1.53092645492416 5.38099898078246 0.567426536838085 1.50878953485953 2.27519433331119 0.953575898953929 2.76167113833241 2.10844401361752 0.573548530766877 -1.16989139921279 4.61391547813369 0.273472361858909 0.0177691356921525 0.554303694772792 3.79742395808538 0.0710301880272665 4.52256082900424 0.0599227714564271 -1.87116931953854 2.70006937064125 -0.421242445884087 2.68371723939395 0.124254991242606 5.00704084904043 0.982992188137998 0.26085351147369 -1.81525817307752 -4.44974003955857 1.42390452994742 -1.19539829746643 -1.07896191306821 0.359082002215787 -3.04507360157519 -0.0572297362348322 4.30563982517616 -1.17056355389104 -1.46814567279583 5.60444545915928 -0.103060702391984 2.11622156068613 1.55370270777807 -0.228393171544786 2.34199775420054 6.83743607115255 0.183288433090821 -3.08508519423355 3.83481011445639 -0.210063736659549 0.10218624863153 2.77009329531452 3.64379905782603
