"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103"
"sp1" 0.242825500639392 -0.574461410241157 0.702584107509804 0.757725577482025 0.519027210527599 0.525262297951515 0.742243474571551 1.07897560799943 -0.0713649159830965 -0.512326963157598 -0.392870584928143 -0.238463055835941 -1.17977629258873 -0.417663754194151 0.244064546897367 0.199964367020839 -0.398097781818747 -0.0133492038316614 -0.587579307379827 1.31938765547681 0.693227734396171 -0.319741199358628 -0.695221729838007 0.184525489534642 -0.0771262333739581 0.222125949273584 0.197173306323001 0.416770575787155 -1.4393035009475 -1.96895212528987 -0.71922470778897 0.78813230269355 -0.413303739718529 0.319809496975534 -0.0915894971365601 0.52348916765747 -0.607057245578518 -0.468615969557233 -0.168668956982371 -1.27842532703327 -1.3353366125982 -0.0437792899299465 -2.13771646499972 -0.00776699898965822 0.420316576280274 -0.214253063045551 -1.83010585401556 -1.34801631658801 0.130123086076694 0.588894487729506 1.02017357281498 0.910134082099839 0.721684437991405 -0.696019568403138 -0.605737545054286 0.247554038358839 -1.17599128751817 -0.371802977510353 -0.68519642871314 0.445162906463454 0.556009384793374 0.454769378652713 -1.46398626598579 -0.36248922627162 -1.87028838756433 -0.61581319136009 -0.571344732883291 0.317401816138278 -0.75953778938495 -0.745888579542742 0.854222720516408 0.330633260962735 -1.54704000414195 0.18133821851296 -0.31706756608059 -0.434762397318143 -1.08758934848615 1.42199989476707 -0.678051834201323 -1.08100212813158 0.113016673641381 -0.490227760203673 0.672532024325955 0.509306553280728 -0.323234673466989 1.25672241742372 1.37626593987569 -0.403586156192099 -0.943425392547289 -1.63365893006499 -1.13714902845729 -0.182789267059363 -0.625648459129244 -0.529975379752074 1.0820910965081 0.598535810354579 -0.372126358227692 -0.459432144380381 -0.483601559244418 -0.457616838149853 0.149433600391495 -0.373924969100041 -0.0247448007705379
"sp2" -0.725362506052904 1.12032055046479 -1.41512036584923 0.651485722633877 1.1250846594445 -0.760258742375434 -0.0778675146828286 1.50951555793629 0.842443895832914 -0.729182094019602 0.0503833445755084 0.906249614006477 -0.683947080141519 0.442275487431415 -0.0241116736760351 -1.25179906129896 0.13804036884474 -0.525165679128225 0.867331402901481 0.160537875803322 1.228024042978 -0.905766179163099 0.483573293996125 0.438855069137928 0.317504741147328 -0.24494615057231 0.108230930057746 0.38282718941188 1.80138186316957 -0.916398137909272 2.2661784283773 0.1217133938005 -0.928980063486564 2.45888125218952 -0.371531824527286 0.16044037151523 0.434512278167713 0.324480368535329 1.23552433884219 0.0945151877059467 -1.07535269067119 -1.11602218234207 -0.448570358835801 1.6501041260828 1.60618651606172 -0.74355828296205 -0.889134803095625 -0.616784366160623 -0.212911877198446 -0.0321880424012869 -0.35901365655352 0.966310837588181 0.827178246023242 2.57044041221793 -0.35025915206303 0.33189192962797 -0.464297774508261 -1.17636787419297 -0.343269189374925 -0.238713326624599 0.250336690406713 -0.629681497199673 -0.301613436813769 0.422898457016718 -0.687497847150009 -0.799028586625311 -0.429399912851999 0.407898065084689 -0.193634193770504 -0.139430238956946 1.05889018104138 0.107823522651552 0.0832133259068845 0.335616918780786 -0.507744986836844 0.478877630959506 -0.983157120276513 -1.69419762352573 0.642225145085933 0.136529754787978 -0.382906906388858 -1.06728056077404 0.650006623943916 -0.428267098597702 -0.82298274479573 1.56768571952137 0.682061225896724 0.917546862389085 -0.833422673240704 0.339516981455956 0.640371010778888 2.04637062862267 1.11461927852661 0.0792414718708897 0.431752603476479 -0.102494169853832 0.353708970929594 -0.288888423139786 0.127946306754591 0.565578203382078 -1.37003894229406 1.72855087599313 -0.997041463947939
"sp3" 0.936074594962867 1.20438257202909 -1.34292885264221 0.966966246905182 0.753060233719065 0.504682018186014 0.956999376521928 -0.0967310245827535 -0.673677869132158 0.598449500910626 0.749480560251458 1.17667641345984 0.162713021717455 0.287442159746714 0.453678165425594 -1.06158487253458 0.598200627498362 0.621632645362462 2.00879998539351 0.0434803167066142 1.0850465854652 0.152917850160874 0.40961584153817 -1.55156882021712 0.999258095382392 0.528609231574277 0.0460196166495196 0.809691519492644 2.3362701759774 0.433875240567746 0.71765806847241 0.70903383341538 0.103659215141175 1.40656658880883 1.47206960586978 0.931010476763803 1.47510251687023 0.567974533668112 -0.166685694471379 -0.812788039118084 -1.15472363278354 0.520550697083929 0.858039258227643 0.970815168965751 0.941888863143374 0.0254924372671203 -0.272859091283995 -0.236842043788583 -0.290518934840877 0.864435951203859 1.79853316818949 -0.399396696591135 1.14784349395596 1.66200371822607 -0.484335326416237 1.2797999882046 -0.420841393697417 -0.517023442694379 0.116247311009081 1.11209657677649 -1.41152157540879 -1.49560516150448 0.399485189953128 1.53619556548797 1.43737037041082 -0.453873009726786 -0.0872843792815327 0.176341208415963 -0.548725621269967 1.1172596191964 1.24395843344604 1.47521812912855 -0.381985345183294 1.05091327351279 0.920437558110304 1.15548222841054 0.492800839217762 -0.088433032659768 -0.0914197479940477 -2.39115110411608 1.53823978420258 0.196905156216671 -0.0174377772288869 0.511591469658963 0.60114013903641 0.177766124387093 -0.471406598656261 0.900124609789191 -0.698298046033134 1.29897816610708 -0.55329437491913 1.12116884467968 1.21562138466711 -0.17998921492994 0.544309723919405 0.844526744552732 0.350376209480244 0.978173990181315 -0.267782938932604 0.730287509057647 0.260894327052788 -1.22202908433318 0.21974612667844
"sp4" 0.687876232032304 0.203334291592439 1.19272106705333 1.00536506147992 0.18024400492252 0.0473704840707435 1.23609197954854 0.247392935860076 0.935147016134054 -0.712386318367119 1.23198576771925 0.613568262152016 0.048480110636454 -0.0857130103837129 0.338527271763015 -1.11597558746371 0.704625909079894 1.08602640747364 1.59456235226305 0.807448059767328 1.9983896763265 0.291049699939832 0.112492210162933 -0.407695885342087 0.156653568823588 -0.26590546627101 -0.38558727676471 1.26344581066521 2.29200052234801 0.41345779382921 0.458216588017644 1.23240659410275 0.121764854500425 2.06300128556505 1.62431983583013 0.104306637074473 1.15613217773485 1.94237892974662 1.36497094734158 1.11341390123632 -1.11825004013761 0.318757430656643 1.27617800511852 1.07735858349919 2.23196990394127 1.20152670289084 -0.418550369456478 -0.852562257086275 -0.164855756719322 1.0843008526274 -0.197641370894287 1.10832226930792 0.735915746178514 1.58957234720947 -0.647261093115468 1.16908706481163 0.0839858677391358 1.60001460713587 -0.101232297505093 0.674975825803162 1.54565035724231 0.101989828065957 0.932006031266353 0.776350492086974 1.64795543971408 0.716839818364901 0.776402983029743 0.951927428247154 0.860294252107432 1.02811366361706 0.272701233037669 0.632274311807091 0.463616046795052 0.697300727965605 -0.246835148310354 -0.045044086694386 -0.322234628930795 -1.71788854141037 0.689863084754369 -0.0636776584976693 0.280363221102948 -0.133561246122567 0.177394970525186 1.00317541415062 -0.160858312227074 1.22334233033655 0.20502435345992 2.50980463210922 -0.402276142458063 0.420245791808876 -0.14579673918029 2.05254726837578 1.90198089850929 -0.653251590376974 -0.7747650605374 1.13818242871361 1.5741979383484 -1.21327525145399 -0.0744531822609105 -0.715206702366115 0.911709963383629 0.34981217178405 0.106324195559161
"sp5" 0.791574164315766 0.4284557547811 0.273681496362904 0.56139923214749 0.357838156625785 -0.145560705761224 0.750904052026088 1.45956324496133 0.640979710978079 0.23491791440898 1.57693959097195 0.997657394889511 -1.21192271586274 1.60041737623014 0.227466030294834 -0.44635632758221 -0.275229703128552 0.501787150039467 0.611937172419872 0.880439643745026 1.43706725047104 1.04893882465423 -0.126397336976589 0.774052746623815 0.823282289195774 -1.29941854015459 0.647935537187315 1.44067807228069 1.19401972147635 0.455224306870807 1.23915027932133 0.348345300660831 0.566329352801984 2.68965713921793 1.51335234922757 0.559666805933179 1.54679403636911 0.389123040894458 1.31924927439198 -0.136056090758675 1.37077690357639 0.095379411132064 1.85013492132218 2.2987720586062 1.75774435854552 0.0771461064699196 0.844145853853943 -0.212814282830619 0.243675046980457 0.968459065486894 0.102887363986984 0.591754190891396 1.12195002214467 0.680216075160161 -0.712801495449608 0.35914984037753 0.252296818978687 1.89685705888378 1.87341068675678 1.62419380884068 1.10619198219166 -0.398072933476305 1.25755910987468 1.40167607826689 0.845189062418064 0.0277212173061415 1.13626107331148 1.35269730297971 0.374381081611264 -0.0553345633633806 1.79229341888995 0.313920858963416 -0.630185895229056 0.287145371472279 1.71373422150272 1.39995493703245 0.400418339107406 1.79934535752082 -0.498298062556207 0.291382046363095 -0.285174566229936 0.705515488721721 1.43040248881214 -0.0100874366249972 0.348922150018567 1.43822326424884 1.44405459381055 2.06802370736265 0.747145713972527 0.480943537030521 -0.575778187657582 0.966666931247264 1.02170372874339 0.430180649783378 -0.0159128385513484 0.0780349649638048 1.9362501626998 -0.220051182664945 0.560136627983754 -0.459293111441634 -0.204301816755268 -0.313938875940907 -0.176651498754711
"sp6" 1.43738716658906 0.809768225653556 1.25624198458475 0.813166963801128 0.826681642746287 1.71628391810222 0.7278531978983 1.2409793832223 -0.437123085573182 0.0878035842571343 1.24065783034864 -0.189574615901101 0.206025582670636 1.76039796747413 1.0016037983385 -0.401054171097528 1.82648186343707 0.0637145295452941 0.669387431062547 1.50035294195966 0.289782472947079 2.08890204519245 0.660913485539553 0.522587179280915 0.470531345587463 -0.922813556349848 0.737151989552709 1.28164979663072 2.37728205295683 0.965236039522842 0.383226527501528 0.495647163240668 0.73966464296297 1.68186756729351 1.5366867453112 0.300136592633054 0.978194717072093 1.85193216838697 1.54057343761092 1.41274281046633 -0.09726315689275 0.995375422178397 1.78943129552623 1.61132700570931 2.27640359689575 0.338848094689758 0.655192527670082 0.701276614998239 1.49516325862517 -0.192096511940246 0.857967873689964 1.0676173822819 1.09879504642439 0.419503808612648 1.15039829785982 0.998302623812608 1.72619602725021 1.95012307153274 1.36736782773135 0.816858341130275 0.0629236893737935 -0.591197404239559 0.120222608831032 1.18404016001572 0.288557162447954 0.885379011803747 0.178615460547579 1.05774508639391 0.727197999066152 -0.261648985187923 1.45842505370536 -0.456270712797614 -0.0728092992910439 -0.111893885857172 1.44064604909654 1.25077872684455 -1.12582821491359 0.723190076310461 0.0788730751416521 0.675466023638804 0.360828648737748 -0.251212840364527 0.263589906172369 0.720980400629108 -0.347899681956874 1.10390892180763 0.309598125415349 1.8885066784068 0.501477319253989 -0.0019687162348808 -0.730041924378256 0.781873063783935 0.672200179712067 1.04874370521471 0.263299717595577 0.184009370240921 1.68034634277474 -0.302191820254014 0.765105540656834 -0.795703725703077 1.10378227893004 0.631669457426547 1.32316968729591
"sp7" 1.50145388591106 0.0797284783382352 0.381700827417985 0.871859126553056 1.99390537912648 0.899501794591913 0.89547386794096 0.228495726327016 0.510944295463307 -0.115686510323884 0.612346888182595 0.0753628684682893 0.533016144676715 1.41649041727562 1.64840188968325 1.77343763395587 -0.28829738949079 0.937105273024481 1.03927356010537 1.80621611382239 1.77835412520394 1.96885441285357 2.71498441901075 0.328518232660887 0.212181580585234 0.545797838685649 1.11400007769267 0.957934639977359 2.43204084613754 0.589191487629413 1.33627677131442 0.642165021379112 1.20468401012667 1.96001517385438 1.05016194108468 -0.00498404215203581 1.19107245003276 1.83498083283355 1.81425568831145 -0.287253110538605 2.07651398055643 1.28265690685363 1.50898683850333 1.84864612152326 1.53115396068865 0.0875939461276828 1.24921364804439 0.793228944593624 0.740332069189566 0.893914231625053 0.92515066173595 -0.365272200495418 1.6823114223499 2.1060388403221 0.422828075891132 1.62423251486032 -0.0072684592261792 1.0942233367517 1.98949966590367 0.426837199257795 1.82065649929892 0.37184560754584 0.566682012212251 1.55623325402883 0.52862661254138 1.49395609891213 1.31437862995326 1.6587624312975 1.37549488712029 1.65759205986031 1.80181732124194 1.3540690304136 1.91102531252057 0.854101766204254 2.07935563458123 0.3359442767887 0.461383414262018 0.772773272125332 1.27148849416257 0.116559622828897 1.00689219181387 0.747487040089668 0.260603284231484 -0.330529235038051 0.796452812985911 1.03017875666073 0.37777220969696 1.48317811503764 -1.81974398694132 -0.431091272110351 0.33094446945056 2.00561259296299 -0.186035164153275 0.540523928084459 -0.0211934986366898 0.0681971069040689 1.17042757882949 0.35726449847832 0.711465460930564 -0.109415452836538 0.89445432042133 1.0672541418841 1.36149896908437
"sp8" 1.60764149981593 1.30828656219237 0.964268753705156 -0.260802975493202 1.01621293854271 0.760107069456856 0.911919645230066 0.424281061099538 1.04764614314472 0.201054395503492 0.497650273299697 -0.410755577582173 1.29881929852156 0.896779536464832 2.23347899289598 -0.613676199976594 -0.212731700435418 1.10852870720992 0.66840643839881 0.704050276963617 0.299793477791411 2.26937454979015 1.58495519049072 0.0951488404785391 1.002863712258 0.882507803080398 1.42434699804444 1.61374274547143 2.59978310822524 1.76664044824884 1.52810119177548 0.36074112605805 1.81888584988893 2.09719499089624 0.646118487289486 0.943608092843493 0.681574095867592 1.13970147006635 0.946771047289611 1.03600863176137 0.670572615509035 1.14291745219632 1.198930669634 1.13124065903497 1.29041807616048 1.0132973410027 1.22450006813617 0.539301626175164 -0.0989924970254622 0.680336829598107 0.608160486561784 0.662674244520571 1.37668040223442 2.51514853570956 0.313460673539694 0.417623291715343 0.0165380531044153 1.62356769298935 1.40906362368577 -0.194007921792077 0.872693151463571 1.65872887020801 1.0321286272116 0.699849923654346 1.23536868907055 1.64844750745683 0.927834419094967 0.716514285458407 0.803526291310845 1.24777027493316 1.03945297053759 0.480979144819513 -0.295313688065882 2.7502135832486 0.904989050813039 0.335072386045826 -0.537772575994138 1.53343363084154 0.0637009136583843 0.91427657620011 1.0607935435934 0.482228930446328 0.399818759770207 1.60265435249434 -0.166073449026663 1.17068481687334 1.22309321245543 1.25656126499994 0.339242404998411 0.947740728529701 -0.00768418768790685 0.882495114348592 1.36634462876345 0.94901235394722 1.20109170906206 1.70194895072832 1.56948562230988 0.425813952863848 0.0443151803632376 0.605692356471193 1.3073778825837 -0.115141850306038 0.788566950784003
"sp9" 1.05200245590785 1.17078710010458 1.88936338621814 0.266609045387157 0.375163013708781 0.305691474015617 1.42165094541633 0.326015083570966 1.97503497306274 -0.0395239374830613 1.44572798305624 0.408850298975453 0.66244620257008 1.42136353649476 0.997160263163102 -0.136626089969611 1.09679203591649 0.846812387080123 1.55028597664832 0.0654437083399376 1.25131937972783 1.37893836116435 1.06962778045556 1.57616270234386 1.37709222099094 -0.0318620464877289 0.199049622253155 1.04525716813009 2.2427893311021 1.67231641035729 2.01729062907751 0.996063003423084 1.64296496533571 1.22468683732116 1.56253124446503 0.0531799549286888 0.260342467659968 0.635388362829411 1.63751370042291 1.73901487210042 0.854995737127007 2.42590994525859 2.62794407608217 1.60191266123722 1.81986617551886 1.79613704014677 1.28506812907082 0.193116691532798 1.69651517653639 1.52896855748473 0.590767968821434 1.35189773303242 1.2060886856942 1.09160187996665 0.799095877959556 0.8418932833317 1.57584716332245 1.9973629598216 1.35977884177109 0.7548622568701 1.20438208941097 0.437768519460934 0.389323111540572 1.3490317614826 0.0786235499616685 2.1418451397813 1.65710283964317 1.00780289484826 1.8659946206516 1.26675581600402 1.6594379556985 0.353353469510085 0.392248947221531 0.863730259916888 0.858750027932286 0.121145593794663 -0.622864974618632 0.936651057836145 0.203455895621568 0.464925817357679 0.692333873890673 0.148629100481489 1.76455379345791 -0.45046128817639 1.49763418916523 1.18789473586758 0.572052964648403 1.36595127760436 0.171184892095282 2.34293048088937 0.1056628605284 1.74789839238199 0.110789998054656 0.50477511107363 1.33192717635103 0.635718617122356 1.49485105972759 0.892572137356854 0.987194808121574 -0.58083362877136 0.607241598560803 0.326289848508521 0.810250819534669
"sp10" 1.5651007076564 0.93790252212106 1.85785311063596 0.888726032050051 1.13460466165961 1.45629826252588 0.704172335695809 0.693235208640338 1.22376838334422 0.66407301985787 1.97308261495804 1.5578584629808 1.36632302373949 1.80114557359438 1.59118339785523 0.819708063392044 0.70724275343335 0.806986486850183 1.81530031141296 0.422685176371865 1.45276217357706 1.37417035512139 0.718834984670929 0.48203222414781 1.36758146691771 -0.357360647633953 0.476459123351221 0.855318277544727 2.28082134493736 0.815903642117373 1.37585942724395 0.867676062602839 1.58250228353824 1.18388767369982 1.0550589756279 0.379507837676015 0.928783200421558 1.62898730817646 0.970576724641609 1.4372510020362 0.68541714432905 1.44952259739238 2.7446473165226 1.96530740439227 2.70341790016137 1.62671536533436 0.595633165281528 1.75303610612837 0.656917410069038 2.02883809142362 1.70710557217684 2.18915178660559 1.75353713312767 1.06865939661412 0.661501818602745 2.01644149577714 0.799622187456861 1.74628786837204 0.88216630761445 0.0281923907699503 1.26610784284245 0.468862777278308 0.441240465059875 1.54694612950161 1.1891332784174 1.35610555706901 0.527904370539629 1.77943253279895 1.76523266989709 1.34939380341113 1.3234307061114 0.993593785367368 0.0719117883035101 1.12739994720146 0.768702072088571 1.17634447403208 0.148177334621056 1.00896090809799 0.478151003345579 1.00987177357053 1.10130968917134 0.990373573758749 1.14715856384935 1.42571462486368 0.347905606538106 1.29130214029156 1.26276740216288 0.961973287565561 0.89249734038368 0.539221516326491 0.0217378854444185 0.831811157895208 1.23962299732341 1.33070811855697 0.86954476589542 0.23928807842365 1.28552385415251 0.277689322272036 0.844286517489907 0.207958479485459 1.35852251727299 1.52199516024867 1.99035310390008
